escenario,M_GB,k,S0_GB,g_anual,t_umbral_anios,alcance
1% anual,1.4987030029296875,3.239579182434389,0.02044539526104927,0.01,313.4724129716826,crecimiento del tamaño de una partición diaria
2% anual,1.4987030029296875,3.239579182434389,0.02044539526104927,0.02,157.51214097792578,crecimiento del tamaño de una partición diaria
5% anual,1.4987030029296875,3.239579182434389,0.02044539526104927,0.05,63.92998005863222,crecimiento del tamaño de una partición diaria
10% anual,1.4987030029296875,3.239579182434389,0.02044539526104927,0.1,32.726349156122815,crecimiento del tamaño de una partición diaria
variación observada entre dos días,1.4987030029296875,3.239579182434389,0.02044539526104927,,,escenario de corto plazo: g=0.008763988780 por día; t=357.463084 días
